id;time;created_at;from_user_name;tekst;filter_level;possibly_sensitive;truncated;retweet_count;favorite_count;lang;to_user_name;in_reply_to_status_id;quoted_status_id;source;location;lat;lng;from_user_id;from_user_realname;from_user_verified;from_user_description;from_user_url;from_user_profile_image_url;from_user_utcoffset;from_user_timezone;from_user_lang;from_user_tweetcount;from_user_followercount;from_user_friendcount;from_user_favourites_count;from_user_listed;from_user_created_at;hashtags;neg;neu;pos;compound;Label
846.561.000.270.672.000,00;1.490.670.845;28-3-2017, 03:14:05;hammond_si;A real shame he hadn't gone abroad before #brexit. @Nigel_Farage - a liar, a fraud and a downright nasty, negative heart. https://t.co/2bhD8dMqkc;low;0;0;0;0;en;;;846.435.179.321.344.000,00;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";;;;415.260.634;Si Hammond;0;Geek | Scientist | Believer in Equality | 1 world, let's make it a good 1 | Brit in USA | Opinions are mine and are rarely shared by my employer or colleagues.;;http://pbs.twimg.com/profile_images/483726498642157568/VlX8Nujn_normal.jpeg;;;en;1.576;170;817;2.285;12;18-11-2011, 03:23:11;brexit;0,593;0,407;0;-0,9552;angry language
846.634.072.764.039.000,00;1.490.688.267;28-3-2017, 08:04:27;3NovicesEngland;#3Novices : 'Europe needs us!' Angry audience member destroys Nick Clegg's anti-Brexit trade argument https://t.co/T1TFPJpIjK  A FURIOUS Q…;low;0;0;0;0;en;;;;"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>";England, United Kingdom;;;3.723.051.974,00;3NovicesUK;0;The First Online Media Updater Founder Meghashyam, Vaishnavi, Bharath;http://www.3novicesunitedkingdom.wordpress.com;http://pbs.twimg.com/profile_images/648750140677722112/fbdWot4z_normal.jpg;;;en;90.186;417;670;0;56;29-9-2015, 06:43:23;3Novices;0,541;0,459;0;-0,934;angry language
846.651.291.732.529.000,00;1.490.692.372;28-3-2017, 09:12:52;andskii69;@LisaMuggeridge I blame #Brexit!!!;low;;0;0;0;en;LisaMuggeridge;846.394.467.829.633.000,00;;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Yorkshire;;;21.358.439;Finko Basterwank;0;Fat bloke just here for shits and giggles. if my views upset you please don't hesitate to fuck off. wine botherer;;http://pbs.twimg.com/profile_images/3678969589/4db1fd7888bf7ab6e1b3452151e0ee0a_normal.jpeg;;;en;2.881;84;218;1.065;1;20-2-2009, 00:43:30;Brexit;0,621;0,379;0;-0,5067;angry language
846.651.339.807.625.000,00;1.490.692.384;28-3-2017, 09:13:04;Rykalski;"""Death to newts!"" scream insane Brexit lunatics. #brexit_means_death_cult   https://t.co/5EWn3FAQuC";low;0;0;0;0;en;;;;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";The War Of Position;;;19.338.275;Rykalski;0;Notifications Filtered. https://thethinkthething.wordpress.com/ http://www.marchforeurope.net http://www.cps.gov.uk/legal/a_to_c/communications_offences/#an11;http://rykalski.tumblr.com/;http://pbs.twimg.com/profile_images/1298835760/ProfilePhoto_normal.png;3.600;London;en;102.616;995;674;28.314;137;22-1-2009, 13:38:47;brexit_means_death_cult;0,709;0,291;0;-0,9041;angry language
846.652.067.221.570.000,00;1.490.692.557;28-3-2017, 09:15:57;timespliters;Stop brainwashing your children about #Brexit;low;;0;0;0;en;;;;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";By the Sea @ Bishop Rock;;;16.804.379;timespliters;0;Works at Geek Extraordinaire - Obsessed with new technology, gadgets,social media,marketing. I'm passionate about Android, Google,, meditation, running, ect.;https://www.vizify.com/timespliters/twitter-video;http://pbs.twimg.com/profile_images/2623756642/socifhivv6xpxk6iozsg_normal.png;-25.200;Pacific Time (US & Canada);en;37.202;4.155;3.754;510;324;16-10-2008, 08:21:48;Brexit;0,54;0,46;0;-0,5719;angry language
846.654.560.672.383.000,00;1.490.693.152;28-3-2017, 09:25:52;Euronator;No deal will be a serious disaster, car crash #brexit. Project fear 2.0, forecasts without confidence limits;low;;0;0;0;en;;;;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";middle;;;835.208.041;man_on_a_Island;0;under performer;;http://pbs.twimg.com/profile_images/834547970188201986/ro2iSikN_normal.jpg;7.200;Amsterdam;en;6.399;100;142;526;13;20-9-2012, 09:47:40;brexit;0,618;0,382;0;-0,9349;angry language
846.658.949.298.508.000,00;1.490.694.198;28-3-2017, 09:43:18;pablothehat;Veteran Who Battled Hitler's Luftwaffe Says Heseltine is Wrong The EU Betrayed Our War Dead, Not Brexit  https://t.co/TdXyvOQl6g #lbc @lbc;low;0;0;0;0;en;;;;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Bishops Castle;;;14.250.027;pablothehat;0;Biped Humanoid;http://www.netvibes.com/pablothehat#The_Tao_of_Blog;http://pbs.twimg.com/profile_images/52204777/drummerboy_normal.JPG;3.600;London;en;58.934;1.417;2.108;8.445;89;29-3-2008, 09:01:15;lbc;0,538;0,462;0;-0,9552;angry language
846.670.554.744.672.000,00;1.490.696.965;28-3-2017, 10:29:25;yorkshire2510;There are three kinds of lies:  Lies, Damned lies, and #Brexit.;low;;0;0;0;en;;;;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Stockton-on-Tees;;;61.720.819;Chris;0;Sarcastic Idiot. Internationally renowned man of anonymity. Code monkey of intermittent quality. Able to apply reason. Hence, proudly #Remain.;;http://pbs.twimg.com/profile_images/740158911638966272/afk0s2AQ_normal.jpg;3.600;Europe/London;en;9.237;268;315;8.927;2;31-7-2009, 07:50:45;Brexit;0,611;0,389;0;-0,875;angry language
846.673.291.641.307.000,00;1.490.697.617;28-3-2017, 10:40:17;horseywindpump;#brexit .Stop ignoring this shit you blind remoaning fuckers. https://t.co/s6YfHF43DB;low;0;0;0;0;en;;;846.671.012.288.713.000,00;"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>";;;;2.851.150.603,00;horseywindpump;0;Care about the planet?  Get the fuck off it then!;;http://pbs.twimg.com/profile_images/520674374853332992/BBI33bvT_normal.jpeg;;;en;596;0;26;2;0;10-10-2014, 20:35:05;brexit;0,751;0,249;0;-0,9337;angry language
846.677.593.982.165.000,00;1.490.698.643;28-3-2017, 10:57:23;boffchops;Incompetence, ignorance, malevolence, spite, racism, nonsense, lies, bollocks, bullshit and drivel. #BrexitShambles #Brexit;low;;0;0;0;en;;;;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";#PaleBlueDot #Cosmos;;;276.014.492;Jay Thompson;0;Humanist attempting to propagate memes that progress the zeitgeist. #ReligionPoisonsEverything #GodIsNotGreat #Atheist #Secular #ScienceSaves #ReligionKills;;http://pbs.twimg.com/profile_images/746575845876076545/FFT-mJb1_normal.jpg;3.600;London;en;46.553;5.759;5.721;46.728;261;2-4-2011, 13:34:23;"BrexitShambles; Brexit";0,79;0,21;0;-0,9705;angry language
